zip_code,hospitalization_rate
10001,0.0
10002,5.3
10003,1.9
10004,0.0
10005,0.0
10006,0.0
10007,0.0
10009,5.2
10010,6.0
10011,8.0
10012,0.0
10013,3.5
10014,3.3
10016,3.9
10017,0.0
10018,0.0
10019,2.3
10021,4.4
10022,0.0
10023,6.5
10024,1.7
10025,3.3
10026,2.6
10027,6.3
10028,6.3
10029,3.8
10030,6.8
10031,5.1
10032,11.1
10033,3.4
10034,2.4
10035,22.7
10036,7.3
10037,9.6
10038,4.4
10039,7.4
10040,6.8
10044,0.0
10065,3.6
10069,0.0
10075,4.3
10128,3.4
10280,10.7
10282,0.0
10301,20.6
10302,27.0
10303,18.9
10304,14.3
10305,7.0
10306,11.4
10307,0.0
10308,26.8
10309,15.2
10310,17.1
10312,9.8
10314,10.8
10451,19.0
10452,12.0
10453,14.0
10454,7.9
10455,9.5
10456,11.8
10457,10.9
10458,9.7
10459,14.6
10460,11.9
10461,0.0
10462,6.6
10463,2.9
10464,0.0
10465,4.6
10466,9.8
10467,12.7
10468,10.3
10469,9.6
10470,13.3
10471,4.7
10472,7.4
10473,15.2
10474,0.0
10475,9.4
11004,15.8
11101,5.4
11102,3.3
11103,8.6
11104,15.7
11105,2.8
11106,13.4
11109,0.0
11201,6.4
11203,13.6
11204,5.2
11205,2.2
11206,10.4
11207,6.7
11208,14.6
11209,8.9
11210,7.6
11211,9.8
11212,9.5
11213,12.4
11214,8.6
11215,2.9
11216,12.8
11217,17.1
11218,13.5
11219,2.2
11220,10.6
11221,7.4
11222,8.3
11223,7.4
11224,21.6
11225,5.2
11226,10.3
11228,8.9
11229,2.4
11230,3.4
11231,5.4
11232,18.5
11233,12.1
11234,1.1
11235,12.8
11236,7.2
11237,4.2
11238,5.6
11239,23.0
11354,16.7
11355,14.0
11356,4.4
11357,0.0
11358,2.8
11360,10.5
11361,11.4
11362,5.5
11363,0.0
11364,0.0
11365,2.3
11366,0.0
11367,4.9
11368,6.3
11369,14.9
11370,3.1
11372,13.2
11373,13.1
11374,16.9
11375,7.0
11377,9.5
11378,11.1
11379,8.2
11385,8.7
11411,4.7
11412,18.4
11413,9.3
11414,3.5
11415,5.3
11416,7.6
11417,12.9
11418,5.3
11419,2.1
11420,10.5
11421,12.5
11422,9.3
11423,16.1
11426,5.0
11427,4.2
11428,10.8
11429,10.8
11432,11.5
11433,16.4
11434,4.5
11435,5.1
11436,15.0
11691,7.5
11692,0.0
11693,0.0
11694,9.6
11697,0.0
