,index,taxi_type,num_trips,total_cost,year,month,location_id,day,date,zone_name
0,92,green,212,6110.4400000000005,2020,1,98,1,2020-01-01,Fresh Meadows
1,362,yellow,159,5973.700000000001,2020,1,98,1,2020-01-01,Fresh Meadows
2,94,green,180,6273.18,2020,2,98,1,2020-02-01,Fresh Meadows
3,362,yellow,106,3776.0900000000006,2020,2,98,1,2020-02-01,Fresh Meadows
4,94,green,83,2253.09,2020,3,98,1,2020-03-01,Fresh Meadows
5,362,yellow,84,2153.3900000000003,2020,3,98,1,2020-03-01,Fresh Meadows
6,90,green,17,840.58,2020,4,98,1,2020-04-01,Fresh Meadows
7,356,yellow,11,416.93,2020,4,98,1,2020-04-01,Fresh Meadows
8,93,green,18,736.89,2020,5,98,1,2020-05-01,Fresh Meadows
9,361,yellow,23,890.25,2020,5,98,1,2020-05-01,Fresh Meadows
10,93,green,29,980.5,2020,6,98,1,2020-06-01,Fresh Meadows
11,361,yellow,28,958.2899999999998,2020,6,98,1,2020-06-01,Fresh Meadows
12,93,green,29,1059.56,2020,7,98,1,2020-07-01,Fresh Meadows
13,362,yellow,45,1652.86,2020,7,98,1,2020-07-01,Fresh Meadows
14,94,green,44,1444.26,2020,8,98,1,2020-08-01,Fresh Meadows
15,361,yellow,55,1754.9700000000005,2020,8,98,1,2020-08-01,Fresh Meadows
16,91,green,37,1347.29,2020,9,98,1,2020-09-01,Fresh Meadows
17,361,yellow,71,2662.23,2020,9,98,1,2020-09-01,Fresh Meadows
18,94,green,42,1529.49,2020,10,98,1,2020-10-01,Fresh Meadows
19,361,yellow,105,3804.06,2020,10,98,1,2020-10-01,Fresh Meadows
20,94,green,57,1974.37,2020,11,98,1,2020-11-01,Fresh Meadows
21,361,yellow,85,3605.35,2020,11,98,1,2020-11-01,Fresh Meadows
22,93,green,62,2230.17,2020,12,98,1,2020-12-01,Fresh Meadows
23,361,yellow,83,2908.54,2020,12,98,1,2020-12-01,Fresh Meadows
24,95,green,217,6336.9400000000005,2019,1,98,1,2019-01-01,Fresh Meadows
25,362,yellow,161,5010.370000000001,2019,1,98,1,2019-01-01,Fresh Meadows
26,96,green,224,6287.890000000001,2019,2,98,1,2019-02-01,Fresh Meadows
27,362,yellow,149,5047.83,2019,2,98,1,2019-02-01,Fresh Meadows
28,96,green,254,7316.730000000001,2019,3,98,1,2019-03-01,Fresh Meadows
29,362,yellow,168,5671.920000000001,2019,3,98,1,2019-03-01,Fresh Meadows
30,97,green,117,2907.400000000001,2019,4,98,1,2019-04-01,Fresh Meadows
31,362,yellow,105,3084.4000000000005,2019,4,98,1,2019-04-01,Fresh Meadows
32,96,green,113,3395.120000000001,2019,5,98,1,2019-05-01,Fresh Meadows
33,362,yellow,113,3242.5300000000007,2019,5,98,1,2019-05-01,Fresh Meadows
34,94,green,108,2831.280000000001,2019,6,98,1,2019-06-01,Fresh Meadows
35,362,yellow,137,4360.58,2019,6,98,1,2019-06-01,Fresh Meadows
36,94,green,165,4657.610000000001,2019,7,98,1,2019-07-01,Fresh Meadows
37,362,yellow,177,5573.6,2019,7,98,1,2019-07-01,Fresh Meadows
38,96,green,160,5226.08,2019,8,98,1,2019-08-01,Fresh Meadows
39,362,yellow,131,4298.45,2019,8,98,1,2019-08-01,Fresh Meadows
40,96,green,160,4981.610000000001,2019,9,98,1,2019-09-01,Fresh Meadows
41,362,yellow,132,5509.320000000001,2019,9,98,1,2019-09-01,Fresh Meadows
42,95,green,201,5750.62,2019,10,98,1,2019-10-01,Fresh Meadows
43,362,yellow,132,5106.42,2019,10,98,1,2019-10-01,Fresh Meadows
44,95,green,176,5358.860000000001,2019,11,98,1,2019-11-01,Fresh Meadows
45,362,yellow,137,4515.52,2019,11,98,1,2019-11-01,Fresh Meadows
46,95,green,175,5417.85,2019,12,98,1,2019-12-01,Fresh Meadows
47,362,yellow,138,4947.550000000001,2019,12,98,1,2019-12-01,Fresh Meadows
