PULocationID,yellow_total_amount,yellow_log_total_amount,green_total_amount,green_log_total_amount,Borough,Zone,service_zone,bivcolor
1,31304.97,10.351532149865584,369.26,5.911501002967597,EWR,Newark Airport,EWR,#6c83b5
2,9.8,2.2823823856765264,6.59,1.8855533485144158,Queens,Jamaica Bay,Boro Zone,#e8e8e8
3,2697.85,7.90021043848382,4478.2,8.406976458957239,Bronx,Allerton/Pelham Gardens,Boro Zone,#b8d6be
4,96227.39,11.47446931546366,855.91,6.7521652304272095,Manhattan,Alphabet City,Yellow Zone,#6c83b5
5,533.0699999999999,6.278652747625093,0.0,0.0,Staten Island,Arden Heights,Boro Zone,#e8e8e8
6,489.29,6.192955360726739,22.83,3.1280754605417043,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,#e8e8e8
7,70150.77,11.158402061949339,93241.94,11.442952899454047,Queens,Astoria,Boro Zone,#2a5a5b
8,2694.88,7.8991089554500755,28.3,3.342861804649192,Queens,Astoria Park,Boro Zone,#e8e8e8
9,1538.59,7.33862169158866,3597.58,8.188016676179315,Queens,Auburndale,Boro Zone,#b8d6be
10,47860.22,10.776039958192293,7449.24,8.915867292747063,Queens,Baisley Park,Boro Zone,#567994
11,1623.94,7.392610574226302,3949.42,8.281324011670751,Brooklyn,Bath Beach,Boro Zone,#b8d6be
12,19116.97,9.858331701243904,0.0,0.0,Manhattan,Battery Park,Yellow Zone,#b5c0da
13,533612.49,13.187425180356087,356.95,5.87759571594847,Manhattan,Battery Park City,Yellow Zone,#6c83b5
14,10736.31,9.281386733608304,19059.41,9.855316221849753,Brooklyn,Bay Ridge,Boro Zone,#5a9178
15,1800.29,7.4957030420183655,1802.44,7.496896581503828,Queens,Bay Terrace/Fort Totten,Boro Zone,#b8d6be
16,2565.53,7.8499203639406225,5317.31,8.578722815359388,Queens,Bayside,Boro Zone,#b8d6be
17,14535.79,9.58436916308117,24820.86,10.119439707634548,Brooklyn,Bedford,Boro Zone,#5a9178
18,4922.7300000000005,8.501618533647234,10401.98,9.249751451623998,Bronx,Bedford Park,Boro Zone,#5a9178
19,2905.55,7.974377980109133,3700.5299999999997,8.216231331617225,Queens,Bellerose,Boro Zone,#b8d6be
20,2359.54,7.766221963766972,4779.5,8.472091217503817,Bronx,Belmont,Boro Zone,#b8d6be
21,2727.78,7.911243370550067,7874.38,8.971369730435722,Brooklyn,Bensonhurst East,Boro Zone,#b8d6be
22,5200.11,8.556435058191934,9052.03,9.110744320932646,Brooklyn,Bensonhurst West,Boro Zone,#90b2b3
23,1536.74,7.337418568526643,1065.49,6.9711900662294966,Staten Island,Bloomfield/Emerson Hill,Boro Zone,#e8e8e8
