PULocationID,yellow_total_amount,green_total_amount,Borough,Zone,service_zone,biv_amount_color
1,75237.06999999999,634.96,EWR,Newark Airport,EWR,#6c83b5
2,818.6999999999999,0.0,Queens,Jamaica Bay,Boro Zone,#e8e8e8
3,5591.42,5354.29,Bronx,Allerton/Pelham Gardens,Boro Zone,#b8d6be
4,206694.85,158.92,Manhattan,Alphabet City,Yellow Zone,#6c83b5
5,2030.49,92.54,Staten Island,Arden Heights,Boro Zone,#e8e8e8
6,410.77,164.25,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,#e8e8e8
7,150800.68,267273.55,Queens,Astoria,Boro Zone,#2a5a5b
8,4650.62,283.83,Queens,Astoria Park,Boro Zone,#e8e8e8
9,2505.37,2972.07,Queens,Auburndale,Boro Zone,#b8d6be
10,174118.66,8900.05,Queens,Baisley Park,Boro Zone,#567994
11,4058.7,4066.13,Brooklyn,Bath Beach,Boro Zone,#b8d6be
12,93128.52,190.48000000000002,Manhattan,Battery Park,Yellow Zone,#6c83b5
13,1541169.56,159.55,Manhattan,Battery Park City,Yellow Zone,#6c83b5
14,22862.35,24529.98,Brooklyn,Bay Ridge,Boro Zone,#5a9178
15,3132.58,1799.85,Queens,Bay Terrace/Fort Totten,Boro Zone,#b8d6be
16,4679.16,5612.98,Queens,Bayside,Boro Zone,#b8d6be
17,24320.77,44979.14,Brooklyn,Bedford,Boro Zone,#5a9178
18,4691.2,11621.550000000001,Bronx,Bedford Park,Boro Zone,#b8d6be
19,3618.73,4007.86,Queens,Bellerose,Boro Zone,#b8d6be
20,3843.09,8770.72,Bronx,Belmont,Boro Zone,#b8d6be
21,6143.61,9313.17,Brooklyn,Bensonhurst East,Boro Zone,#90b2b3
22,9479.15,11606.38,Brooklyn,Bensonhurst West,Boro Zone,#90b2b3
23,2441.91,701.77,Staten Island,Bloomfield/Emerson Hill,Boro Zone,#e8e8e8
24,346964.3,30368.3,Manhattan,Bloomingdale,Yellow Zone,#2a5a5b
25,111605.57,142053.98,Brooklyn,Boerum Hill,Boro Zone,#2a5a5b
26,10708.6,15240.76,Brooklyn,Borough Park,Boro Zone,#5a9178
27,956.42,200.31,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,#e8e8e8
28,44984.75,9989.32,Queens,Briarwood/Jamaica Hills,Boro Zone,#90b2b3
29,4875.56,13913.95,Brooklyn,Brighton Beach,Boro Zone,#73ae80
30,796.98,380.37,Queens,Broad Channel,Boro Zone,#e8e8e8
31,2204.77,7325.09,Bronx,Bronx Park,Boro Zone,#b8d6be
32,5567.4800000000005,7226.150000000001,Bronx,Bronxdale,Boro Zone,#b8d6be
33,151346.87,227820.69,Brooklyn,Brooklyn Heights,Boro Zone,#2a5a5b
34,3149.94,2920.6,Brooklyn,Brooklyn Navy Yard,Boro Zone,#b8d6be
35,15392.25,24889.9,Brooklyn,Brownsville,Boro Zone,#5a9178
36,14130.77,25776.74,Brooklyn,Bushwick North,Boro Zone,#5a9178
37,25809.21,22187.15,Brooklyn,Bushwick South,Boro Zone,#5a9178
38,4949.2699999999995,3902.44,Queens,Cambria Heights,Boro Zone,#b8d6be
39,22065.8,25411.22,Brooklyn,Canarsie,Boro Zone,#5a9178
40,58892.76,37287.7,Brooklyn,Carroll Gardens,Boro Zone,#2a5a5b
41,384580.09,351615.9,Manhattan,Central Harlem,Boro Zone,#2a5a5b
42,174366.11000000002,214777.55000000002,Manhattan,Central Harlem North,Boro Zone,#2a5a5b
43,1889981.04,83106.92,Manhattan,Central Park,Yellow Zone,#2a5a5b
44,1655.98,0.0,Staten Island,Charleston/Tottenville,Boro Zone,#e8e8e8
45,279883.89,87.3,Manhattan,Chinatown,Yellow Zone,#6c83b5
46,1654.37,2069.0,Bronx,City Island,Boro Zone,#b8d6be
47,6215.77,8280.39,Bronx,Claremont/Bathgate,Boro Zone,#90b2b3
48,3992901.57,11.3,Manhattan,Clinton East,Yellow Zone,#6c83b5
49,29227.91,61189.92,Brooklyn,Clinton Hill,Boro Zone,#5a9178
50,1114570.3,195.19,Manhattan,Clinton West,Yellow Zone,#6c83b5
51,11004.09,18843.85,Bronx,Co-Op City,Boro Zone,#5a9178
52,70352.64,63815.840000000004,Brooklyn,Cobble Hill,Boro Zone,#2a5a5b
53,4211.5599999999995,3641.72,Queens,College Point,Boro Zone,#b8d6be
54,4957.19,3937.48,Brooklyn,Columbia Street,Boro Zone,#b8d6be
55,12190.76,46199.82,Brooklyn,Coney Island,Boro Zone,#5a9178
56,22292.63,16083.16,Queens,Corona,Boro Zone,#5a9178
57,1081.29,1404.3700000000001,Queens,Corona,Boro Zone,#e8e8e8
58,782.83,1038.06,Bronx,Country Club,Boro Zone,#e8e8e8
59,189.22,398.71,Bronx,Crotona Park,Boro Zone,#e8e8e8
60,3090.66,6062.61,Bronx,Crotona Park East,Boro Zone,#b8d6be
61,38133.1,66192.68000000001,Brooklyn,Crown Heights North,Boro Zone,#5a9178
62,11813.51,17764.62,Brooklyn,Crown Heights South,Boro Zone,#5a9178
63,8399.51,7100.58,Brooklyn,Cypress Hills,Boro Zone,#90b2b3
64,2990.17,1691.24,Queens,Douglaston,Boro Zone,#e8e8e8
65,181520.84,171890.25,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone,#2a5a5b
66,82059.46,197151.42,Brooklyn,DUMBO/Vinegar Hill,Boro Zone,#2a5a5b
67,4065.61,4537.59,Brooklyn,Dyker Heights,Boro Zone,#b8d6be
68,3009048.31,183.6,Manhattan,East Chelsea,Yellow Zone,#6c83b5
69,15495.48,28146.3,Bronx,East Concourse/Concourse Village,Boro Zone,#5a9178
70,118564.77,9707.64,Queens,East Elmhurst,Boro Zone,#567994
71,12361.68,17756.98,Brooklyn,East Flatbush/Farragut,Boro Zone,#5a9178
72,13805.48,19337.16,Brooklyn,East Flatbush/Remsen Village,Boro Zone,#5a9178
73,1549.97,2130.67,Queens,East Flushing,Boro Zone,#b8d6be
74,414335.10000000003,561071.91,Manhattan,East Harlem North,Boro Zone,#2a5a5b
75,774825.7000000001,437630.12,Manhattan,East Harlem South,Boro Zone,#2a5a5b
76,31723.22,37790.95,Brooklyn,East New York,Boro Zone,#5a9178
77,7719.54,11887.69,Brooklyn,East New York/Pennsylvania Avenue,Boro Zone,#90b2b3
78,6679.7,12069.47,Bronx,East Tremont,Boro Zone,#90b2b3
79,2995899.27,46.04,Manhattan,East Village,Yellow Zone,#6c83b5
80,53358.01,65308.92,Brooklyn,East Williamsburg,Boro Zone,#2a5a5b
81,7183.14,9533.34,Bronx,Eastchester,Boro Zone,#90b2b3
82,53580.33,299759.88,Queens,Elmhurst,Boro Zone,#2a5a5b
83,13842.65,35053.4,Queens,Elmhurst/Maspeth,Boro Zone,#5a9178
84,229.5,0.0,Staten Island,Eltingville/Annadale/Prince's Bay,Boro Zone,#e8e8e8
85,8169.07,12618.74,Brooklyn,Erasmus,Boro Zone,#5a9178
86,5328.79,8697.8,Queens,Far Rockaway,Boro Zone,#b8d6be
