PULocationID,yellow_total_amount,green_total_amount,Borough,Zone,service_zone,biv_amount_color,log_total_amount
1,93693.02,1004.72,EWR,Newark Airport,EWR,#6c83b5,8.638486503282241
2,263.47,42.19,Queens,Jamaica Bay,Boro Zone,#e8e8e8,0.0
3,6569.65,13293.64,Bronx,Allerton/Pelham Gardens,Boro Zone,#b8d6be,9.462824449284225
4,212255.37,3043.04,Manhattan,Alphabet City,Yellow Zone,#6c83b5,10.267544730608456
5,2535.76,230.0,Staten Island,Arden Heights,Boro Zone,#e8e8e8,6.794877691915022
6,586.08,45.0,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,#e8e8e8,7.037466885503794
7,130859.87,222342.19,Queens,Astoria,Boro Zone,#2a5a5b,10.955007010748606
8,4998.35,13.39,Queens,Astoria Park,Boro Zone,#e8e8e8,5.548297571815806
9,3884.67,8560.43,Queens,Auburndale,Boro Zone,#b8d6be,8.770530683034927
10,156396.24,19443.27,Queens,Baisley Park,Boro Zone,#567994,10.404241325065648
11,4452.5,9254.06,Brooklyn,Bath Beach,Boro Zone,#b8d6be,8.796854684845494
12,62728.91,0.0,Manhattan,Battery Park,Yellow Zone,#6c83b5,8.370607822323622
13,1298301.13,942.24,Manhattan,Battery Park City,Yellow Zone,#6c83b5,11.620542333149062
14,23857.65,44135.37,Brooklyn,Bay Ridge,Boro Zone,#5a9178,10.420663371068917
15,4810.75,4862.34,Queens,Bay Terrace/Fort Totten,Boro Zone,#e8e8e8,8.297966957386073
16,6417.96,13198.22,Queens,Bayside,Boro Zone,#b8d6be,9.023954165675324
17,28073.6,58584.74,Brooklyn,Bedford,Boro Zone,#5a9178,10.5469462030168
18,9494.58,23529.05,Bronx,Bedford Park,Boro Zone,#5a9178,10.062913152619842
19,7472.98,9457.56,Queens,Bellerose,Boro Zone,#b8d6be,8.763939200342142
20,4495.09,11410.19,Bronx,Belmont,Boro Zone,#b8d6be,9.449916171351699
21,7295.38,19224.64,Brooklyn,Bensonhurst East,Boro Zone,#b8d6be,9.383859971616747
22,8942.25,24692.2,Brooklyn,Bensonhurst West,Boro Zone,#5a9178,9.917302189509794
23,3278.62,558.0,Staten Island,Bloomfield/Emerson Hill,Boro Zone,#e8e8e8,8.62436007460943
24,320858.81,24261.99,Manhattan,Bloomingdale,Yellow Zone,#2a5a5b,11.562112693156452
25,108615.87,140853.95,Brooklyn,Boerum Hill,Boro Zone,#2a5a5b,10.741832310386966
26,14958.7,27698.66,Brooklyn,Borough Park,Boro Zone,#5a9178,10.080451868238574
27,230.38,560.91,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,#e8e8e8,7.281667798577195
28,66501.02,17712.26,Queens,Briarwood/Jamaica Hills,Boro Zone,#567994,9.445902492663862
29,5802.21,27813.83,Brooklyn,Brighton Beach,Boro Zone,#73ae80,9.555758899503216
30,119.69,243.1,Queens,Broad Channel,Boro Zone,#e8e8e8,4.446174454497633
31,1271.62,5085.13,Bronx,Bronx Park,Boro Zone,#b8d6be,7.232971547061839
32,7721.65,16343.42,Bronx,Bronxdale,Boro Zone,#b8d6be,9.74859184524482
33,138441.54,195900.67,Brooklyn,Brooklyn Heights,Boro Zone,#2a5a5b,10.660023765699767
34,2505.94,3475.39,Brooklyn,Brooklyn Navy Yard,Boro Zone,#e8e8e8,8.830111631036095
35,28195.14,52410.71,Brooklyn,Brownsville,Boro Zone,#5a9178,10.79917223045332
36,13085.11,20640.99,Brooklyn,Bushwick North,Boro Zone,#90b2b3,9.409954873498199
37,27978.98,31401.82,Brooklyn,Bushwick South,Boro Zone,#5a9178,10.240280094996805
38,8667.02,12074.48,Queens,Cambria Heights,Boro Zone,#b8d6be,9.186542434045055
39,30433.6,60517.8,Brooklyn,Canarsie,Boro Zone,#5a9178,10.872673724676433
40,53984.85,28493.76,Brooklyn,Carroll Gardens,Boro Zone,#2a5a5b,8.964755640444599
41,378251.28,335782.86,Manhattan,Central Harlem,Boro Zone,#2a5a5b,12.310109906071991
42,171041.45,225484.82,Manhattan,Central Harlem North,Boro Zone,#2a5a5b,11.972417098783774
43,1945215.42,73125.61,Manhattan,Central Park,Yellow Zone,#2a5a5b,13.00139211224124
44,1409.36,0.0,Staten Island,Charleston/Tottenville,Boro Zone,#e8e8e8,9.656467461803237
45,273253.19,7049.94,Manhattan,Chinatown,Yellow Zone,#567994,10.283231694479587
46,1007.8,2452.12,Bronx,City Island,Boro Zone,#e8e8e8,7.874309375047775
47,8808.37,18501.7,Bronx,Claremont/Bathgate,Boro Zone,#90b2b3,10.112080556206227
48,3955385.9,5616.64,Manhattan,Clinton East,Yellow Zone,#567994,13.282306852264126
49,35779.63,67145.91,Brooklyn,Clinton Hill,Boro Zone,#5a9178,10.256011693800223
50,970540.75,2412.13,Manhattan,Clinton West,Yellow Zone,#6c83b5,12.051005003755112
51,22450.25,51979.04,Bronx,Co-Op City,Boro Zone,#5a9178,10.669553355396433
52,69872.85,55493.33,Brooklyn,Cobble Hill,Boro Zone,#2a5a5b,9.824449215313686
53,7570.28,7748.74,Queens,College Point,Boro Zone,#b8d6be,8.483619861731894
54,5269.87,3388.68,Brooklyn,Columbia Street,Boro Zone,#e8e8e8,7.261309358084354
55,10592.72,73371.88,Brooklyn,Coney Island,Boro Zone,#5a9178,10.690193152190414
56,47489.86,28450.03,Queens,Corona,Boro Zone,#5a9178,9.617037387641213
57,373.56,1254.7,Queens,Corona,Boro Zone,#e8e8e8,7.570046266052361
58,865.38,1176.66,Bronx,Country Club,Boro Zone,#e8e8e8,6.936303862386553
59,281.11,522.71,Bronx,Crotona Park,Boro Zone,#e8e8e8,5.852259949387432
60,4087.57,10577.72,Bronx,Crotona Park East,Boro Zone,#b8d6be,9.15769142226094
61,50581.92,101119.26,Brooklyn,Crown Heights North,Boro Zone,#5a9178,11.201005206660607
62,16253.74,29082.14,Brooklyn,Crown Heights South,Boro Zone,#5a9178,9.880346860094486
63,9930.88,14482.26,Brooklyn,Cypress Hills,Boro Zone,#90b2b3,9.66060929661894
64,3995.2,5546.22,Queens,Douglaston,Boro Zone,#b8d6be,8.768347162380111
65,163937.94,172721.34,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone,#2a5a5b,10.931495314555661
66,68285.92,130145.8,Brooklyn,DUMBO/Vinegar Hill,Boro Zone,#2a5a5b,9.076115024334852
67,6956.79,10186.14,Brooklyn,Dyker Heights,Boro Zone,#b8d6be,8.896203435079952
68,3015701.65,5573.16,Manhattan,East Chelsea,Yellow Zone,#567994,13.157634203861937
69,17829.79,41260.23,Bronx,East Concourse/Concourse Village,Boro Zone,#5a9178,10.305306354275139
70,34887.22,11796.83,Queens,East Elmhurst,Boro Zone,#90b2b3,11.720131485868576
71,22136.3,34207.94,Brooklyn,East Flatbush/Farragut,Boro Zone,#5a9178,10.152394752432937
72,20360.96,38372.09,Brooklyn,East Flatbush/Remsen Village,Boro Zone,#5a9178,10.454752569639876
73,2021.25,5176.980000000001,Queens,East Flushing,Boro Zone,#b8d6be,7.833370403276609
74,388761.59,528789.7,Manhattan,East Harlem North,Boro Zone,#2a5a5b,12.607816103548553
75,790285.5,399141.32,Manhattan,East Harlem South,Boro Zone,#2a5a5b,13.095686471906305
76,43670.27,83803.71,Brooklyn,East New York,Boro Zone,#5a9178,11.262751871404147
77,11426.16,21487.19,Brooklyn,East New York/Pennsylvania Avenue,Boro Zone,#90b2b3,10.063931104927905
78,11368.32,22852.57,Bronx,East Tremont,Boro Zone,#5a9178,10.018204559392915
79,3073205.4,1858.67,Manhattan,East Village,Yellow Zone,#6c83b5,12.917950163002123
80,44485.9,53006.11,Brooklyn,East Williamsburg,Boro Zone,#5a9178,9.483088993428982
81,8909.74,26550.19,Bronx,Eastchester,Boro Zone,#5a9178,9.824148305709315
82,83199.96,297875.69,Queens,Elmhurst,Boro Zone,#2a5a5b,10.751180977534476
83,12214.94,35782.46,Queens,Elmhurst/Maspeth,Boro Zone,#5a9178,9.423633163479863
84,85.6,4.3,Staten Island,Eltingville/Annadale/Prince's Bay,Boro Zone,#e8e8e8,7.728618224136545
85,14786.98,21392.08,Brooklyn,Erasmus,Boro Zone,#90b2b3,9.796437276704031
86,11148.32,23219.0,Queens,Far Rockaway,Boro Zone,#5a9178,9.964001109361545
87,1112448.69,4768.01,Manhattan,Financial District North,Yellow Zone,#6c83b5,11.650032930816106
88,618830.85,2040.31,Manhattan,Financial District South,Yellow Zone,#6c83b5,11.068077638586661
89,36275.31,55910.77,Brooklyn,Flatbush/Ditmas Park,Boro Zone,#5a9178,10.798156816025037
90,1899947.98,4392.19,Manhattan,Flatiron,Yellow Zone,#6c83b5,12.987169529380568
91,20940.25,41581.03,Brooklyn,Flatlands,Boro Zone,#5a9178,10.336775653032092
92,16857.29,84306.02,Queens,Flushing,Boro Zone,#5a9178,10.005510605054496
93,176290.75,6095.45,Queens,Flushing Meadows-Corona Park,Boro Zone,#567994,8.668196064952765
94,4385.72,11225.76,Bronx,Fordham South,Boro Zone,#b8d6be,9.28095539373235
95,31753.64,219816.2,Queens,Forest Hills,Boro Zone,#5a9178,11.05394786503429
96,678.04,683.8,Queens,Forest Park/Highland Park,Boro Zone,#e8e8e8,6.435653450054175
97,96098.06,203955.0,Brooklyn,Fort Greene,Boro Zone,#2a5a5b,11.221706745950112
98,4947.55,5417.85,Queens,Fresh Meadows,Boro Zone,#b8d6be,8.544557354187631
99,210.84,0.0,Staten Island,Freshkills Park,Boro Zone,#e8e8e8,7.7842901145180345
100,2389174.8,3652.51,Manhattan,Garment District,Yellow Zone,#6c83b5,12.893902564477381
101,9403.75,8619.94,Queens,Glen Oaks,Boro Zone,#90b2b3,8.63042722938718
102,6347.8,9788.65,Queens,Glendale,Boro Zone,#b8d6be,8.992915438155412
103,0.0,0.0,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,#e8e8e8,0.0
104,0.0,0.0,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,#e8e8e8,0.0
105,185.23,0.0,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,#e8e8e8,3.0819099697950434
106,15719.93,16233.17,Brooklyn,Gowanus,Boro Zone,#90b2b3,9.27987483011194
107,2709688.43,5066.98,Manhattan,Gramercy,Yellow Zone,#567994,13.155083778462846
108,5805.31,18235.75,Brooklyn,Gravesend,Boro Zone,#b8d6be,9.627424385089784
109,284.3,71.04,Staten Island,Great Kills,Boro Zone,#e8e8e8,4.712139406985334
110,0.0,0.0,Staten Island,Great Kills Park,Boro Zone,#e8e8e8,0.0
111,142.88,49.40000000000001,Brooklyn,Green-Wood Cemetery,Boro Zone,#e8e8e8,4.899480244730094
112,34008.82,27332.02,Brooklyn,Greenpoint,Boro Zone,#5a9178,9.45372174999122
113,1717463.15,2052.82,Manhattan,Greenwich Village North,Yellow Zone,#6c83b5,12.679616407355544
114,1471298.01,647.77,Manhattan,Greenwich Village South,Yellow Zone,#6c83b5,12.1402028920292
115,971.19,2351.2000000000007,Staten Island,Grymes Hill/Clifton,Boro Zone,#e8e8e8,8.28675056655812
116,138093.43,100181.91,Manhattan,Hamilton Heights,Boro Zone,#2a5a5b,11.215072914768063
117,10594.9,34278.6,Queens,Hammels/Arverne,Boro Zone,#5a9178,10.08226742830882
118,2889.71,125.08,Staten Island,Heartland Village/Todt Hill,Boro Zone,#e8e8e8,6.682484466651753
119,10496.65,19972.29,Bronx,Highbridge,Boro Zone,#90b2b3,9.959665124396702
120,1434.77,1116.85,Manhattan,Highbridge Park,Boro Zone,#e8e8e8,7.328916555196626
121,10741.88,21554.63,Queens,Hillcrest/Pomonok,Boro Zone,#90b2b3,9.799202014438388
122,6418.82,12537.86,Queens,Hollis,Boro Zone,#b8d6be,9.2195092094241
123,7910.5,19965.24,Brooklyn,Homecrest,Boro Zone,#b8d6be,9.615528108287013
124,10109.45,8169.42,Queens,Howard Beach,Boro Zone,#90b2b3,8.899235447113927
125,634511.84,1241.34,Manhattan,Hudson Sq,Yellow Zone,#6c83b5,11.29311722033174
126,7649.06,14915.25,Bronx,Hunts Point,Boro Zone,#b8d6be,9.234976397599688
127,15852.14,25577.27,Manhattan,Inwood,Boro Zone,#5a9178,9.78687227228792
128,1655.69,2369.73,Manhattan,Inwood Hill Park,Boro Zone,#e8e8e8,8.287890712786444
129,64535.5,161215.81,Queens,Jackson Heights,Boro Zone,#2a5a5b,10.535770785768573
130,82845.3,155111.71,Queens,Jamaica,Boro Zone,#2a5a5b,10.840402338948595
131,9267.32,18107.12,Queens,Jamaica Estates,Boro Zone,#90b2b3,9.542790961174722
132,12394952.73,4060.41,Queens,JFK Airport,Airports,#6c83b5,13.939564371133574
133,9523.16,12088.85,Brooklyn,Kensington,Boro Zone,#90b2b3,9.259072439219926
134,30746.78,62352.28,Queens,Kew Gardens,Boro Zone,#5a9178,9.834776605590433
135,14658.48,12787.6,Queens,Kew Gardens Hills,Boro Zone,#90b2b3,9.539391569245137
136,12720.73,25351.97,Bronx,Kingsbridge Heights,Boro Zone,#5a9178,10.250005589286271
137,1345796.44,13082.18,Manhattan,Kips Bay,Yellow Zone,#567994,13.061485837356773
