PULocationID,yellow_total_amount,green_total_amount,Borough,Zone,service_zone,biv_amount_color,yellow_change_percent,green_change_percent,biv_ratio_color,total_change_percent,log_total_amount
1,1719.08,0.0,EWR,Newark Airport,EWR,#e8e8e8,-97.71511570027913,-100.0,#2a5a5b,-97.73423750491452,7.44954454298524
2,176.79,0.0,Queens,Jamaica Bay,Boro Zone,#e8e8e8,-78.40600952729937,-0.0,#b5c0da,-78.40600952729937,5.174962587517932
3,3605.82,3268.21,Bronx,Allerton/Pelham Gardens,Boro Zone,#b8d6be,-35.5115516273147,-38.960907982197455,#90b2b3,-37.19886603975439,8.835505821671422
4,16872.0,537.6,Manhattan,Alphabet City,Yellow Zone,#6c83b5,-91.83724219543932,238.2834130380066,#6c83b5,-91.58361967490367,9.764777057196747
5,0.0,179.79000000000005,Staten Island,Arden Heights,Boro Zone,#e8e8e8,-100.0,94.28355305813706,#6c83b5,-91.53144326740555,5.191789503138204
6,947.76,701.56,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,#e8e8e8,130.7276578133749,327.12937595129375,#e8e8e8,186.8282842335919,7.408118360737219
7,22030.56,7534.32,Queens,Astoria,Boro Zone,#2a5a5b,-85.39094120795741,-97.18104541208807,#2a5a5b,-92.92831801663547,10.29434244939332
8,117.05,0.0,Queens,Astoria Park,Boro Zone,#e8e8e8,-97.48313128142055,-100.0,#2a5a5b,-97.62790179249967,4.76260119393692
9,1239.17,2000.91,Queens,Auburndale,Boro Zone,#b8d6be,-50.53944128013027,-32.6762155669281,#90b2b3,-40.84681895191913,8.083353299839573
10,13287.38,7596.61,Queens,Baisley Park,Boro Zone,#5a9178,-92.36877885460407,-14.645310981398973,#6c83b5,-88.58915025682347,9.946738115694856
11,1737.24,1783.72,Brooklyn,Bath Beach,Boro Zone,#b8d6be,-57.19713208662872,-56.132243681338274,#90b2b3,-56.66420097405115,8.166488958681548
12,1237.46,0.0,Manhattan,Battery Park,Yellow Zone,#e8e8e8,-98.6712341181842,-100.0,#2a5a5b,-98.67394635604752,7.120816170688116
13,29980.56,35.68,Manhattan,Battery Park City,Yellow Zone,#6c83b5,-98.05468776582896,-77.63710435600126,#2a5a5b,-98.05257424872745,10.309493847509593
14,8835.57,6684.15,Brooklyn,Bay Ridge,Boro Zone,#5a9178,-61.353185477433435,-72.7510988594365,#5a9178,-67.25267569667919,9.649866752337351
