PULocationID,yellow_total_amount,green_total_amount,Borough,Zone,service_zone,biv_amount_color,yellow_change_percent,green_change_percent,biv_ratio_color,total_change_percent,log_total_amount,log_total_change_percent,sigmoid_total_change_percent,newlog_total_change_percent
1,2767.79,236.9,EWR,Newark Airport,EWR,#e8e8e8,-96.1819367905337,-61.22432277600459,#567994,-95.88978227141072,8.007929680250133,0.0,2.2677579004608046e-42,-95.88978227141072
2,143.24,0.0,Queens,Jamaica Bay,Boro Zone,#e8e8e8,-79.067660382873,-100.0,#2a5a5b,-84.91765994187762,4.964521545130231,0.0,1.3204710102553647e-37,-84.91765994187762
3,4885.39,3746.9,Bronx,Allerton/Pelham Gardens,Boro Zone,#b8d6be,-20.499422303949487,-71.20641944152642,#b8d6be,-54.94175561525769,9.063265102295787,0.0,1.3775225285830089e-24,-54.94175561525769
4,20977.65,556.32,Manhattan,Alphabet City,Yellow Zone,#6c83b5,-88.03890812304998,282.56085820382333,#6c83b5,-87.73187634871783,9.977386967228966,0.0,7.916445289974759e-39,-87.73187634871783
5,15.05,0.0,Staten Island,Arden Heights,Boro Zone,#e8e8e8,-99.64579234252469,-100.0,#2a5a5b,-99.65235750122426,2.711377991194885,0.0,5.26660841317325e-44,-99.65235750122426
6,389.89,77.79,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,#e8e8e8,-46.46353687506007,-68.91881093175644,#90b2b3,-52.206836646057944,6.147784301362936,0.0,2.122554874979051e-23,-52.206836646057944
7,29947.74,10831.59,Queens,Astoria,Boro Zone,#2a5a5b,-78.8199719468984,-95.67230311390215,#2a5a5b,-89.58864914332808,10.615930614371118,0.0,1.2363574094289933e-39,-89.58864914332808
8,201.53,11.3,Queens,Astoria Park,Boro Zone,#e8e8e8,-96.05617210142448,-96.79950151528028,#2a5a5b,-96.10421227585906,5.360493724974712,0.0,1.830083565266594e-42,-96.10421227585906
9,3061.32,2770.52,Queens,Auburndale,Boro Zone,#b8d6be,-2.9181756486772747,-57.61469040818419,#b8d6be,-39.814961015908395,8.671087838469901,0.0,5.1118974589562406e-18,-39.814961015908395
10,17222.92,8049.6,Queens,Baisley Park,Boro Zone,#5a9178,-90.2330452834826,-42.62387977359185,#6c83b5,-86.72440179353467,10.137472918401922,0.0,2.1680577924127704e-38,-86.72440179353467
