PULocationID,yellow_total_amount,green_total_amount,Borough,Zone,service_zone,biv_amount_color,yellow_change_percent,green_change_percent,biv_ratio_color
1,4315.349999999999,100.1,EWR,Newark Airport,EWR,#e8e8e8,-94.13723942210775,-86.87695010356852,#2a5a5b
2,172.67,0.0,Queens,Jamaica Bay,Boro Zone,#e8e8e8,-56.390958454350304,-100.0,#5a9178
3,6400.69,4594.35,Bronx,Allerton/Pelham Gardens,Boro Zone,#b8d6be,11.807132526079684,-63.083832046642286,#b8d6be
4,23400.34,1098.02,Manhattan,Alphabet City,Yellow Zone,#6c83b5,-85.57484990664474,523.025419881979,#6c83b5
5,0.0,1539.2,Staten Island,Arden Heights,Boro Zone,#b8d6be,-100.0,6056.8,#6c83b5
6,291.89,76.29,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,#e8e8e8,-66.64228655017543,-45.174272367948255,#b5c0da
7,33754.7,15968.9,Queens,Astoria,Boro Zone,#2a5a5b,-72.74941510222996,-92.9695776146498,#2a5a5b
8,458.48,77.34,Queens,Astoria Park,Boro Zone,#e8e8e8,-92.09910923694918,-81.38090423226923,#2a5a5b
9,3899.57,3202.9500000000003,Queens,Auburndale,Boro Zone,#b8d6be,31.87365786848379,-54.752093260457116,#b8d6be
10,24193.38,10565.67,Queens,Baisley Park,Boro Zone,#2a5a5b,-84.40347869228772,-40.91119064929254,#6c83b5
11,3155.2400000000002,2643.78,Brooklyn,Bath Beach,Boro Zone,#b8d6be,-44.21951266942807,-63.60996101922611,#90b2b3
12,5108.4,0.0,Manhattan,Battery Park,Yellow Zone,#e8e8e8,-94.91835233413694,-100.0,#2a5a5b
13,69860.78,174.98,Manhattan,Battery Park City,Yellow Zone,#6c83b5,-94.72972134878307,-66.06283941039565,#567994
14,18730.6,14718.15,Brooklyn,Bay Ridge,Boro Zone,#5a9178,-21.339792810695773,-60.986254673556786,#90b2b3
15,2436.2,1685.07,Queens,Bay Terrace/Fort Totten,Boro Zone,#b8d6be,-33.48477319514446,-64.93995306102067,#90b2b3
16,6061.99,2834.97,Queens,Bayside,Boro Zone,#b8d6be,0.87412180129329,-75.88933982868068,#5a9178
17,22953.58,16361.51,Brooklyn,Bedford,Boro Zone,#5a9178,2.0881441446570195,-67.7915867026176,#90b2b3
18,13433.52,11100.09,Bronx,Bedford Park,Boro Zone,#5a9178,77.57555889257843,-44.60474558812814,#e8e8e8
19,3321.89,2775.82,Queens,Bellerose,Boro Zone,#b8d6be,-19.7851368189238,-57.16023051019054,#90b2b3
20,7722.85,5414.37,Bronx,Belmont,Boro Zone,#90b2b3,110.32528473307805,-50.42816191139754,#b8d6be
21,7559.61,5039.05,Brooklyn,Bensonhurst East,Boro Zone,#90b2b3,16.65650756223159,-67.3586554412821,#b8d6be
22,10482.63,8920.4,Brooklyn,Bensonhurst West,Boro Zone,#5a9178,17.033868785252064,-49.4778097460411,#b8d6be
23,1572.03,2302.05,Staten Island,Bloomfield/Emerson Hill,Boro Zone,#b8d6be,-63.61538586165316,22.51072344682981,#b5c0da
