PULocationID,yellow_total_amount,green_total_amount,Borough,Zone,service_zone,biv_amount_color,yellow_change_percent,green_change_percent,biv_ratio_color,total_change_percent
1,5580.66,211.6,EWR,Newark Airport,EWR,#e8e8e8,-93.07954126505163,-80.87456389305666,#2a5a5b,-92.91435550503073
2,0.0,0.0,Queens,Jamaica Bay,Boro Zone,#e8e8e8,-100.0,-0.0,#6c83b5,-100.0
3,6425.0,5396.28,Bronx,Allerton/Pelham Gardens,Boro Zone,#b8d6be,19.76907404058914,-64.39596024641784,#e8e8e8,-42.39383729531803
4,29095.99,944.87,Manhattan,Alphabet City,Yellow Zone,#6c83b5,-86.06371789537353,-63.60691602247823,#6c83b5,-85.78788409225311
5,782.54,191.41,Staten Island,Arden Heights,Boro Zone,#e8e8e8,-50.563515528264205,194.02457757296472,#b5c0da,-40.90180944406014
6,712.8199999999998,277.28,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,#e8e8e8,32.80545515519617,93.4421654806753,#e8e8e8,45.58581343371364
7,35154.41,29096.4,Queens,Astoria,Boro Zone,#2a5a5b,-72.88251339775195,-87.49997690861271,#2a5a5b,-82.2711484527985
8,509.21,279.79999999999995,Queens,Astoria Park,Boro Zone,#e8e8e8,-88.00676431587848,136.57732307432144,#6c83b5,-81.92035893017542
9,4605.68,2291.57,Queens,Auburndale,Boro Zone,#b8d6be,31.914235468663183,-74.25725779363972,#b8d6be,-44.346631184929194
10,24152.61,11622.32,Queens,Baisley Park,Boro Zone,#2a5a5b,-84.59548282489466,-47.059857791625106,#6c83b5,-79.98525143720443
11,4028.72,2365.73,Brooklyn,Bath Beach,Boro Zone,#b8d6be,-15.848487506945224,-73.1538620409479,#90b2b3,-52.980740666664715
12,5229.77,0.0,Manhattan,Battery Park,Yellow Zone,#e8e8e8,-91.1706837601643,-0.0,#6c83b5,-91.1706837601643
13,127143.74,167.24,Manhattan,Battery Park City,Yellow Zone,#6c83b5,-90.24066087925866,-85.68738874435165,#2a5a5b,-90.23658068377077
14,16005.15,15237.03,Brooklyn,Bay Ridge,Boro Zone,#5a9178,-29.734173325138286,-64.73646827989428,#90b2b3,-52.65405944168119
15,3242.43,1106.45,Queens,Bay Terrace/Fort Totten,Boro Zone,#e8e8e8,-35.83653745307606,-81.08273535662323,#5a9178,-60.110362236156114
16,6053.96,2848.58,Queens,Bayside,Boro Zone,#b8d6be,-20.63034657262161,-74.71984948593591,#90b2b3,-52.88564533542201
17,19781.46,17904.54,Brooklyn,Bedford,Boro Zone,#5a9178,-21.354964290314733,-65.88497004259486,#90b2b3,-51.45789262644538
18,11082.18,11419.6,Bronx,Bedford Park,Boro Zone,#5a9178,45.43486049267523,-48.58937725689057,#e8e8e8,-24.57308390563867
19,3063.85,3138.38,Queens,Bellerose,Boro Zone,#b8d6be,-55.2296492427829,-69.81711656606923,#90b2b3,-64.02702571026879
20,5850.49,4525.0,Bronx,Belmont,Boro Zone,#b8d6be,13.549051993346767,-55.83491530551991,#e8e8e8,-32.618112435089145
21,6604.94,5087.49,Brooklyn,Bensonhurst East,Boro Zone,#b8d6be,-18.217332139704148,-71.50475360455073,#90b2b3,-54.90776524361909
22,10503.0,7317.87,Brooklyn,Bensonhurst West,Boro Zone,#5a9178,13.963359852085247,-72.99468704020867,#b8d6be,-50.925634486524615
23,2023.21,1542.86,Staten Island,Bloomfield/Emerson Hill,Boro Zone,#b8d6be,-49.916081631036434,53.123790430631495,#b5c0da,-29.34599770567222
24,104478.9,4633.34,Manhattan,Bloomingdale,Yellow Zone,#567994,-67.24281830107326,-81.30344902446517,#5a9178,-68.25653892127804
25,26571.85,22406.7,Brooklyn,Boerum Hill,Boro Zone,#2a5a5b,-73.58309308413362,-83.76443853601634,#2a5a5b,-79.47222956376484
26,15144.09,9034.97,Brooklyn,Borough Park,Boro Zone,#5a9178,3.870996062335952,-67.2371328715452,#b8d6be,-42.644622178701916
27,1527.37,137.18,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,#e8e8e8,656.4607993660542,-83.78716966860493,#73ae80,58.82656030838811
28,8493.66,6163.36,Queens,Briarwood/Jamaica Hills,Boro Zone,#90b2b3,-87.65557949738438,-58.96059101820131,#6c83b5,-82.51449081114305
29,7794.14,7317.81,Brooklyn,Brighton Beach,Boro Zone,#5a9178,28.31570958432319,-76.78515175538692,#73ae80,-59.80468822729895
30,173.93,178.73000000000005,Queens,Broad Channel,Boro Zone,#e8e8e8,174.38081716359048,-7.561417119213848,#e8e8e8,37.36075407026566
31,917.04,551.89,Bronx,Bronx Park,Boro Zone,#e8e8e8,-30.159552187654697,-87.50659317026792,#5a9178,-74.36646016926969
32,11620.63,8060.34,Bronx,Bronxdale,Boro Zone,#5a9178,84.52942783099164,-52.27557737602535,#e8e8e8,-15.119865716585066
33,24621.65,22767.8,Brooklyn,Brooklyn Heights,Boro Zone,#2a5a5b,-81.34353606317251,-88.23626305038117,#2a5a5b,-85.4417479296798
34,23526.15,10793.2,Brooklyn,Brooklyn Navy Yard,Boro Zone,#2a5a5b,618.3250181671624,123.69836410778277,#e8e8e8,323.6941097749021
35,32776.97,17996.52,Brooklyn,Brownsville,Boro Zone,#2a5a5b,37.12543786509677,-64.67033799748876,#b8d6be,-32.15886854596531
36,10793.84,4360.84,Brooklyn,Bushwick North,Boro Zone,#90b2b3,-21.07943062871248,-81.53084855333084,#5a9178,-59.35810462900982
37,21170.15,9887.94,Brooklyn,Bushwick South,Boro Zone,#2a5a5b,-20.223876519343783,-70.0941640318441,#90b2b3,-47.88957413633737
38,7042.26,2881.58,Queens,Cambria Heights,Boro Zone,#90b2b3,-18.44847053101496,-75.57949938304247,#90b2b3,-51.43749580992396
39,36590.13,20560.72,Brooklyn,Canarsie,Boro Zone,#2a5a5b,15.407856033074836,-64.50881733400469,#b8d6be,-36.241876538218555
40,6905.52,2458.52,Brooklyn,Carroll Gardens,Boro Zone,#90b2b3,-86.10054557037311,-91.92643775394899,#2a5a5b,-88.31444151155871
41,300574.12,65977.69,Manhattan,Central Harlem,Boro Zone,#2a5a5b,-15.671817516056356,-80.6775392456198,#5a9178,-47.477114972794205
42,94690.38,60005.28,Manhattan,Central Harlem North,Boro Zone,#2a5a5b,-38.66215367721472,-72.38775482594266,#90b2b3,-58.38036703519593
43,461813.66,24660.25,Manhattan,Central Park,Yellow Zone,#2a5a5b,-74.7543800388033,-69.85576263108364,#567994,-74.54468623562654
44,11276.08,159.08,Staten Island,Charleston/Tottenville,Boro Zone,#b5c0da,594.9389868112905,-12.880613362541062,#e8e8e8,533.4566807001995
